exchange,instrument_symbol,instrument_token,cost,ltp,stoploss_original,target_original,revised_stoploss,revised_target,sl_gap_percent,tgt_gap_percent,protect_after,protected,quantity,investment_amount,current_value,profit,profit_percent,distance,status,buy_sr_trigger,buy_bo_trigger,fetch_status,time,count,row_colour,sl_buy_tolerance_percent,rev_buy_percent,fund_allotted
NSE,ASIANPAINT,60417,3050.9,2939.85,2539.0,4500.0,2539.0,4500.0,3.5,10.0,3400.0,No,19.0,57967.1,55857.15,-2109.95,-3.64,-13.64,Holding,0.0,0.0,success,2024-11-01 21:54:42,276.0,#E7A8B2,2.0,3.0,55000.0
NSE,CDSL,5420545,1048.27,1558.0,1394.0,1600.0,1629.26,1662.01,0.5,1.5,1420.0,No,144.0,150950.88,224352.0,73401.12,48.63,100.0,Archive,0.0,0.0,success,2024-11-01 21:54:42,276.0,#AB9EFF,2.0,4.0,55000.0
NSE,FINEORG,958465,4709.77,4853.6,3960.0,7000.0,3960.0,7000.0,6.0,10.0,6300.0,No,12.0,56517.24,58243.2,1725.96,3.05,-18.41,Holding,0.0,0.0,success,2024-11-01 21:54:42,276.0,#B7D793,1.0,3.0,55000.0
NSE,FINEORG,958465,4709.77,4853.6,3960.0,7000.0,4425.98,7000.0,6.0,10.0,6300.0,No,13.0,61227.01,63096.8,1869.79,3.05,15.53,Buy,4100.0,1000000.0,success,2024-11-01 21:54:42,276.0,#AB9EFF,1.0,3.0,55000.0
NSE,TRITURBINE,6549505,532.75,705.3,568.0,1200.0,568.0,1200.0,3.0,10.0,900.0,No,70.0,37292.5,49371.0,12078.5,32.39,6.42,Ignore,660.0,785.0,success,2024-11-01 21:54:42,276.0,#AB9EFF,1.0,3.0,55000.0
NSE,LIKHITHA,147969,586.0,374.35,220.0,500.0,220.0,500.0,3.0,10.0,460.0,No,136.0,79696.0,50911.6,-28784.4,-36.12,8.19,Ignore,279.0,405.0,success,2024-11-01 21:54:42,276.0,#AB9EFF,1.0,3.0,55000.0
NSE,HCLTECH,1850625,1864.3,1757.4,1711.0,2300.0,1711.0,2300.0,3.0,10.0,2100.0,No,30.0,55929.0,52722.0,-3207.0,-5.73,-2.64,Holding,0.0,0.0,success,2024-11-01 21:54:42,276.0,#E7A8B2,2.0,3.0,55000.0
NSE,AIAENG,3350017,1315.0,3852.7,3670.0,4900.0,3670.0,4900.0,3.0,10.0,4430.0,No,15.0,19725.0,57790.5,38065.5,192.98,1.63,Buy,3790.0,3978.0,success,2024-11-01 21:54:42,276.0,#AB9EFF,2.0,4.0,55000.0
NSE,SPLPETRO,2461953,607.0,763.0,575.0,1000.0,896.28,1016.4,3.0,10.0,900.0,No,70.0,42490.0,53410.0,10920.0,25.7,2.49,Archive,782.0,857.0,success,2024-11-01 21:54:42,276.0,#AB9EFF,1.0,3.0,55000.0
NSE,TORNTPOWER,3529217,1400.0,1825.45,1272.0,1894.0,1974.73,2239.38,3.0,10.0,1875.0,No,31.0,43400.0,56588.95,13188.95,30.39,23.96,Archive,1100.0,1388.0,success,2024-11-01 21:54:42,276.0,#AB9EFF,1.0,3.0,55000.0
