,date,instrument_code,high_normalized,high_normalized_pred,open,close,high,high_predicted,high_normalized_orig,high_normalized_mlp_without_open,high_normalized_mlp10_without_open,high_normalized_keras_without_open,high_normalized_keras10_without_open,high_normalized_wiht_open_orig,high_normalized_mlp_with_open,high_normalized_keras_with_open,high_orig,high_mlp_without_open,high_mlp10_without_open,high_keras_without_open,high_keras10_without_open,high_mlp_with_open,high_keras_with_open
0,2023-09-20 00:00:00+05:30,3MINDIA,100.74364783543291,100.6909380977971,30100.0,29831.0,30393.2,30377.298078317257,100.74364783543291,100.6909380977971,103.15242914457687,100.69747,101.26452,100.97408637873754,107.76428665276262,101.36535,30393.2,30377.298078317257,31119.901619983677,30379.269166423794,30550.340761226653,32437.05028248155,30510.96999359131
1,2023-09-20 00:00:00+05:30,ABB,102.49056778464457,100.50574452044974,4302.0,4336.0,4427.9,4342.14968051699,102.49056778464457,100.50574452044974,102.23436442070494,100.60772,101.290016,102.92654579265457,103.5544685733399,101.42782,4427.9,4342.14968051699,4416.831246067715,4346.555302162171,4376.032568778992,4454.913238025083,4363.4247431945805
2,2023-09-20 00:00:00+05:30,AIAENG,99.99862222895798,101.40264950924464,3610.0,3565.0,3629.0,3679.9528520152426,99.99862222895798,101.40264950924464,93.79451449624915,100.28725,100.78376,100.52631578947368,105.60098577148855,102.29401,3629.0,3679.9528520152426,3403.84982832613,3639.474326515198,3657.493044849396,3812.195586350737,3692.8136291503906
3,2023-09-20 00:00:00+05:30,APLAPOLLO,100.15827204170934,100.63169922859835,1611.95,1600.0,1613.7,1621.3276221215622,100.15827204170934,100.63169922859835,101.1197448701876,100.72747,101.273636,100.1085641614194,102.31050479083538,101.48935,1613.7,1621.3276221215622,1629.1907694760275,1622.8706393165587,1631.6701842269897,1649.194181975871,1635.9575670928957
4,2023-09-20 00:00:00+05:30,ASTERDM,98.68109069353883,101.13919162167667,332.2,327.0,332.95,341.24363253153706,98.68109069353883,101.13919162167667,101.82995085160333,100.732216,101.586235,100.22576760987357,102.8341696339155,101.840324,332.95,341.24363253153706,343.5742541733096,339.87049638366693,342.7519570465088,341.61511152386726,338.3135576629639
5,2023-09-20 00:00:00+05:30,AWL,100.29863481228668,100.97973913049665,351.6,349.2,352.65,355.04476278282624,100.29863481228668,100.97973913049665,102.02594376002844,100.69106,101.3585,100.29863481228668,101.85933309032943,101.7934,352.65,355.04476278282624,358.72321826026,354.0297772521973,356.3764776306152,358.13741514559825,357.9056071472168
6,2023-09-20 00:00:00+05:30,BAJAJ-AUTO,101.65261317647514,101.27708523130468,5176.0,5172.0,5262.2,5242.760232626333,101.65261317647514,101.27708523130468,101.44172527586207,100.91247,101.593025,101.66537867078826,100.05394122111527,101.44456,5262.2,5242.760232626333,5251.283071492913,5223.885272472381,5259.115339405059,5178.791997604926,5250.770280151367
7,2023-09-20 00:00:00+05:30,BALKRISIND,101.99256005382088,100.60680183411121,2503.9,2543.0,2577.25,2542.233275546156,101.99256005382088,100.60680183411121,101.14011264572176,100.72646,101.40684,102.92943008906106,101.91364348571572,101.47587,2577.25,2542.233275546156,2555.709506444743,2545.257001579285,2562.449375862122,2551.815719238836,2540.8542644882205
8,2023-09-20 00:00:00+05:30,BDL,103.06635071090045,101.81566346335958,1070.0,1044.95,1087.35,1074.1552495384437,103.06635071090045,101.81566346335958,102.84779908122931,101.00876,101.379295,101.6214953271028,101.87154173440751,101.71115,1087.35,1074.1552495384437,1085.0442803069693,1065.6424026489258,1069.5515659332277,1090.0254965581603,1088.3093170166014
9,2023-09-20 00:00:00+05:30,BEML,101.32896025897689,101.53328669640301,2347.0,2343.95,2378.9,2383.6969717714533,101.32896025897689,101.53328669640301,103.77592077414943,100.740845,101.55601,101.35918193438432,102.65273800040977,101.4625,2378.9,2383.6969717714533,2436.3472920147055,2365.0928116455075,2384.2303853836056,2409.2597608696174,2381.3249108123778
10,2023-09-20 00:00:00+05:30,BERGEPAINT,102.37388724035608,100.15019522173056,739.85,753.8,759.0,742.5135473739103,102.37388724035608,100.15019522173056,101.1525062710942,101.02462,101.34078,102.58836250591335,102.05282394062706,101.64152,759.0,742.5135473739103,749.9446814938923,748.9965330963134,751.3405589752197,755.0378179247293,751.9947682533265
11,2023-09-20 00:00:00+05:30,BHARTIARTL,99.90219517496196,100.93399306151348,911.0,911.4,919.3,928.794604152047,99.90219517496196,100.93399306151348,101.77414912367031,100.59782,101.352516,100.91108671789243,102.45223700032193,101.744865,919.3,928.794604152047,936.5257202360142,925.701107131958,932.6458538360596,933.3398790729327,926.895723953247
12,2023-09-20 00:00:00+05:30,BIOCON,100.89677891654466,100.75524857247271,273.95,273.65,275.65,275.2633390999954,100.89677891654466,100.75524857247271,101.61259764637572,100.6124,101.35937,100.62055119547361,101.50965741939905,101.59458,275.65,275.2633390999954,277.60561676989846,274.8730665283203,276.91379165649414,278.0857065004437,278.31835630416873
13,2023-09-20 00:00:00+05:30,BLUESTARCO,118.3426035872758,101.74218090232866,816.0,904.85,946.8,813.9883183090803,118.3426035872758,101.74218090232866,104.34665687758974,101.08651,101.624245,116.02941176470587,101.64017442879279,101.95098,946.8,813.9883183090803,834.8254283491566,808.7426208915709,813.0447696418761,829.3838233389491,831.9200061035157
14,2023-09-20 00:00:00+05:30,BOROLTD,101.28865979381443,100.66063348480303,406.7,405.25,412.65,410.0914208170875,101.28865979381443,100.66063348480303,101.42085885605806,100.76019,101.290886,101.4629948364888,101.88522222697009,101.77127,412.65,410.0914208170875,413.18857897958054,410.4970257568359,412.65906925964356,414.3671987970874,413.9037581481934
